File path                                          | mode  | owner      | group     
/opt/datadog-agent/etc/conf.d/network.d/conf.yaml.default | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/process.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/apache.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/gitlab.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/jboss_wildfly.d/metrics.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/solr.d/metrics.yaml  | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/snmp.d/profiles/palo-alto.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/riak.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/datadog.yaml                | -rw-r----- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/jmx.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/kubernetes_state.d/auto_conf.yaml.disabled | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/snmp.d/profiles/hp-ilo4.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/tomcat.d/auto_conf.yaml.disabled | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/kube_apiserver_metrics.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/var/log/datadog/trace-agent 2.log                 | -rwxr-xr-x | steven.yuen | admin     
/var/log/datadog/agent.log                         | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/cassandra.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/consul.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/etcd.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/snmp.d/profiles/_base.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/mongo.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/snmp.d/profiles/_base_cisco.yaml | -rw-r--r-- | steven.yuen | admin     
/var/log/datadog/supervisord.log                   | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/kube_dns.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/redisdb.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/snmp.d/profiles/_generic-host-resources.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/snmp.d/profiles/cisco-3850.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/elastic.d/auto_conf.yaml.disabled | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/snmp.d/profiles/_generic-router-if.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/snmp.d/profiles/_generic-router-udp.yaml | -rw-r--r-- | steven.yuen | admin     
/var/log/datadog/jmxfetch.log                      | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/sqlserver.yaml.disabled | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/uptime.d/conf.yaml.default | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/apm.yaml.default     | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/ibm_db2.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/jboss_wildfly.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/servicetest.yaml.disabled | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/kyototycoon.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/presto.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/snmp.d/profiles/dell-poweredge.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/prometheus.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/var/log/datadog/collector.log                     | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/http_check.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/kube_controller_manager.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/snmp.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/varnish.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/couchbase.d/auto_conf.yaml | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/memory.d/conf.yaml.default | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/mysql.d/conf.yaml.disabled | -rw------- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/ntp.d/conf.yaml.default | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/jmx.d/metrics.yaml   | -rw-r--r-- | steven.yuen | admin     
/opt/datadog-agent/etc/conf.d/presto.d/conf.yaml.disabled | -rw-r--r-- | steven.yuen | admin     
